Company_Name,Description,Website,Logo_URL
CoPlane,The intelligent operations layer for the enterprise.,https://startups.gallery/companies/coplane,https://framerusercontent.com/images/ua1kpmi8S8863RhVGOv2m3e37ss.png?width=1200&height=630
Tenzai,AI hacker for security teams.,https://startups.gallery/companies/tenzai,https://framerusercontent.com/images/maBjx101iC4dGFYzAmU41GhQFQ.png?width=752&height=422
Flint,The autonomous website platform.,https://startups.gallery/companies/flint,https://framerusercontent.com/images/mNRX2Zc7fiM1VsfOHzYpK9ehmM.png?width=1200&height=630
Prior Labs,Building tabular foundation models.,https://startups.gallery/companies/prior-labs,https://framerusercontent.com/images/Ba7kNUKj2XY0UfiqOvQEy7zeNiE.jpg?width=1200&height=630
Composite,Autopilot for your browser.,https://startups.gallery/companies/composite,https://framerusercontent.com/images/8aLcbDUPMXQWo1KKziHARyvK8.jpeg?width=1200&height=630
Espresso AI,Save up to 70% on Snowflake.,https://startups.gallery/companies/espresso-ai,https://framerusercontent.com/images/KkOS5B9iBhuQCk0c2OV9m35WqQI.png?width=800&height=500
Zo Computer,The intelligent cloud comptuer.,https://startups.gallery/companies/zo-computer,https://framerusercontent.com/images/IBg26mDZeqNi15uKmRYArMEb6rE.jpeg?width=1500&height=500
Subtrate,America's next-gen semiconductor foundry.,https://startups.gallery/companies/subtrate,https://framerusercontent.com/images/PISFbssfrc0SnsSMmlZGndcofK8.jpeg?width=1500&height=500
Sunday,The helpful robotics company‌﻿‍﻿‍‍‌‍﻿﻿‌﻿‍‌‍‍‌‌‍‌﻿‌‍‍‌‌‍﻿‍‍‍﻿‍‍‍‍‌﻿﻿‌‍‌‌‍﻿‍‌‍‍‌‌﻿‌‌﻿‍‌‍﻿‍‌‍‍‌‌‍﻿﻿‍‍‍﻿‍‍‌‍‍‌﻿‍‌‍‌‌‌‍‌‍‍‍﻿‍‍‍‍‍﻿﻿‌﻿﻿‌﻿‌‌﻿‌‌‌‍‌‌‍‍‌‌‍﻿﻿‍﻿﻿‌‍‍‌‌‍﻿‍‌﻿‌‌‍‌‌‌‍﻿‍‌﻿‌‍﻿﻿‌‍‌‌‌‍‌‌‍‍‌‌﻿‌‍﻿﻿‌‍﻿‌‌‍﻿﻿‌‍‌‌‍‌‌﻿﻿‌‌﻿‌﻿‍‌‍‌‌‌﻿﻿‌‍‌‌‌‍﻿‍‌﻿‌‌‍‌‌﻿‌‌‍‍‌‌‍﻿﻿‌‍﻿‍﻿‍﻿‌‍‍‌‌‍‌﻿﻿‌‌‍‌‍‌‍‌﻿‌﻿﻿‌‌‍‍﻿‍﻿‌‌‌‍‌‍﻿‌‌‍‌﻿‍﻿‌﻿‌‍﻿‌﻿‌﻿‍‌﻿‌‍﻿‍‍﻿‌﻿‍‌‌‍‌﻿‌‍﻿‍‍﻿‌‌‍‌‍﻿‌‍﻿‌﻿‌‍﻿‌‌‍‌‌﻿‍‌‌‍‌‌‍﻿﻿‍﻿‌﻿‌‍‌﻿‍﻿‌﻿‌‌﻿‍‌‌﻿‌‍‌‌﻿﻿‌‌﻿‌‍‌‌‍‌﻿‌‍‌‌﻿‍﻿‌﻿‌‍‌‌﻿‌‌‍‍﻿﻿‌‌﻿﻿‌﻿‌‌‌‍‍‌﻿‌‌‍‍‌‌﻿‌‌‍﻿‌‍‌‌﻿﻿﻿‌‍‍‌‍‌‌﻿﻿‌‍‌‌‌‌‌‌‌﻿‍‌‍﻿﻿﻿‌‍‌‌﻿‍‌‌‍‌﻿﻿‌﻿‌‌﻿‌‌‌‍‌‌‍‍‌‌‍﻿﻿‍‌‍‌‍‍‌‌‍‌﻿﻿‌‌‍‌‍‌‍‌﻿‌﻿﻿‌‌‍‍﻿‍﻿‌‌‌‍‌‍﻿‌‌‍‌﻿‍﻿‌﻿‌‍﻿‌﻿‌﻿‍‌﻿‌‍﻿‍‍﻿‌﻿‍‌‌‍‌﻿‌‍﻿‍‍﻿‌‌‍‌‍﻿‌‍﻿‌﻿‌‍﻿‌‌‍‌‌﻿‍‌‌‍‌‌‍﻿﻿‍﻿‌﻿‌‍‌‍‌‍‌﻿‌‌﻿‍‌‌﻿‌‍‌‌﻿﻿‌‌﻿‌‍‌‌‍‌﻿‌‍‌‌‍‌‍‌﻿‌‍‌‌﻿‌‌‍‍﻿﻿‌‌﻿﻿‌﻿‌‌‌‍‍‌﻿‌‌‍‍‌‌﻿‌‌‍﻿‌‍‌‌‍‌‍‌﻿‌‍‌‌‌﻿‍‌﻿﻿‌﻿‌‍‌‌‌‍﻿‌﻿‌‌‍‍‌‌﻿‌‍‌‍‌‌﻿﻿‌‌﻿‌﻿‌‌‌‍‍‌‍﻿‌‍‍‌‌﻿﻿‌‍‍‌‍‌‌‌‍‌‍‍‌﻿﻿‌.,https://startups.gallery/companies/sunday,https://framerusercontent.com/images/h1vYmISs80BJDujW0BwIGOeVhiM.png?width=1024&height=576
alphaXiv,Understand papers in minutes.,https://startups.gallery/companies/alphaxiv,https://framerusercontent.com/images/HihlrzpYXlzge6r29F0GCMnpw8.png?width=1200&height=675
