Company_Name,Description,Website,Logo_URL
Range,All-in-one wealth management platform.,https://startups.gallery/companies/range,https://framerusercontent.com/images/KVgoXeiHSB52p3qQKalcPFy9pw.png?width=1200&height=630
Lumafield,Advanced 3D X-ray technology.,https://startups.gallery/companies/lumafield,https://framerusercontent.com/images/LK0nEg8lralzGVYHnwEBrG0aGE.jpeg?width=1500&height=500
Luma AI,Share your dreams with the world.,https://startups.gallery/companies/luma-ai,https://framerusercontent.com/images/3m3IRbFXG0a1mQU4MbShN8bF3k.webp?width=1920&height=1080
Clerk,Full-stack auth and user management.,https://startups.gallery/companies/clerk,https://framerusercontent.com/images/N1tY17BlNUCdDexnbIo6pkogmq4.jpeg?width=1500&height=500
Parloa,Conversation AI for customer service.,https://startups.gallery/companies/parloa,https://framerusercontent.com/images/XrVBZv0k2ru1TYwRZ3aXhlzBVo.jpeg?width=1500&height=500
Scribe,Turn any process into step-by-step guides.,https://startups.gallery/companies/scribe,https://framerusercontent.com/images/Ps6AeWSEGUWuWZx86xuNxtRdUNk.webp?width=1200&height=630
Hippocratic AI,Generative AI for healthcare.,https://startups.gallery/companies/hippocratic-ai,https://framerusercontent.com/images/pzKfORupQcJdHW1g76mJnxWDDc.webp?width=1500&height=1000
Sanity,The Content Operating System.,https://startups.gallery/companies/sanity,https://framerusercontent.com/images/7bCBni9thtdKFD7rBCRGm6r8tA.png?width=1500&height=500
Sublime Security,AI-powered email security platform.,https://startups.gallery/companies/sublime-security,https://framerusercontent.com/images/xfBkhKsyRHDgylkZNP32UwfniWU.png?width=2000&height=1050
Legora,AI workspace for lawyers.,https://startups.gallery/companies/leya,https://framerusercontent.com/images/xW66oPxL0wNf3JufwF7Zzwbwchc.jpg?width=1200&height=630
Apex,Building satellite buses.,https://startups.gallery/companies/apex,https://framerusercontent.com/images/y2xZuYSZpVTTEoJbC1v97TSL3pc.png?width=2300&height=1294
Mercor,Onboard your global team in seconds.,https://startups.gallery/companies/mercor,https://framerusercontent.com/images/92hVmcvVRocJo93pBftH29o04w.png?width=8692&height=2608
Owner,Online ordering and restaurant marketing system.,https://startups.gallery/companies/owner,https://framerusercontent.com/images/c3ZRCBcay4LCNdVvlpED2FJjA.png?width=2400&height=1260
Clockwise,AI-powered scheduling for a better workday.,https://startups.gallery/companies/clockwise,https://framerusercontent.com/images/q17Wpqlti8Baa4QYT41PEtZvO5w.png?width=1066&height=702
Natural Cycles,"Non-hormonal, non-invasive birth control.",https://startups.gallery/companies/natural-cycles,https://framerusercontent.com/images/9DAMmBpsjrfwhsxpelAVPXZTU.png?width=1280&height=720
n8n,AI workflow automation tool.,https://startups.gallery/companies/n8n,https://framerusercontent.com/images/3VAVHgVCUYoDMjRbwO47yrwGc.png?width=1200&height=630
Base,Building America's next-gen power company.,https://startups.gallery/companies/base,https://framerusercontent.com/images/m23YxKaG8YY7fmP5KSvG2jYPSy8.jpg?width=2500&height=1312
Einride,"The clean, safe and efficient way to ship.",https://startups.gallery/companies/einride,https://framerusercontent.com/images/Vj9qT2Nt2t3IjB8YnubUKwR68wQ.jpeg?width=1200&height=630
Rebellions,Korean AI chip maker.,https://startups.gallery/companies/rebellions,https://framerusercontent.com/images/yGxeptcT3ZjnNeEwoRZ83MIyUg.jpg?width=1920&height=1040
Imprint,Co-branded financial products.,https://startups.gallery/companies/imprint,https://framerusercontent.com/images/ORELQ82xWYdp7Tm6RXMMGmFt20.jpeg?width=3840&height=2560
