Company_Name,Description,Website,Logo_URL
Copper,The Tesla of induction stoves.,https://startups.gallery/companies/copper,https://framerusercontent.com/images/nHCykx2i1L1bvVxZI2KZbYtGM2g.jpeg?width=1800&height=1188
Goodfire,Advancing AI interpretability research.,https://startups.gallery/companies/goodfire,https://framerusercontent.com/images/ud2MoEScofG6ePkRpOgMc8oGWs.png?width=1200&height=630
Momentic,Ship fast with AI testing.,https://startups.gallery/companies/momentic,https://framerusercontent.com/images/1aUZlEDPk0Dkrjc7YTXZ72kTBYQ.png?width=1200&height=631
Rainmaker,Making Earth habitable.,https://startups.gallery/companies/rainmaker,https://framerusercontent.com/images/EeLLTPvgZ26WWkfGtr4i0j2JyE.jpeg?width=1500&height=500
Sierra,Conversational AI platform for businesses.,https://startups.gallery/companies/sierra,https://framerusercontent.com/images/0XeFsXLBr8sWJnc6sIEZvvLy9E.png?width=1200&height=630
Flexion Robotics,The next generation of humanoids.,https://startups.gallery/companies/flexion-robotics,https://framerusercontent.com/images/2C9PvIqqGgbt9ibpP48bpuLkLRk.webp?width=2400&height=1601
Tailor,Composable headless ERP.,https://startups.gallery/companies/tailor,https://framerusercontent.com/images/JshkmNEpHmH7Y0tjMZEToZ75ML8.png?width=1500&height=500
Stuut,Turn your orders into cash.,https://startups.gallery/companies/stuut,https://framerusercontent.com/images/tJGquGtUJYoUyECpBETXpZfwOc.png?width=1200&height=630
Physical Intelligence,Machine learning for robots.,https://startups.gallery/companies/physical-intelligence,https://framerusercontent.com/images/waz6c3WAluc0JbG5WW667vAdTg.png?width=1200&height=630
Doubleword,InferenceOps platform.,https://startups.gallery/companies/doubleword,https://framerusercontent.com/images/RJT9qtibyY9LukanMllQOtTOBEE.webp?width=1200&height=630
Wispr Flow,The best immersive voice keyboard.,https://startups.gallery/companies/wispr-flow,https://framerusercontent.com/images/gy5dkXdf26zzLMos6UDLYnrzfI.jpeg?width=1500&height=500
Archetype,Encoding the physical world.,https://startups.gallery/companies/archetype-ai,https://framerusercontent.com/images/YQxtJiKZjQU9Iqstls2jvMt1g.jpeg?width=1500&height=500
Flex,End-to-end finance platform for businesses.,https://startups.gallery/companies/flex,https://framerusercontent.com/images/cGYnwcJh4f8pvgXqmYYUXE4Uo.png?width=1200&height=630
Sphere,Global tax compliance platform.,https://startups.gallery/companies/sphere,https://framerusercontent.com/images/IDLVqT7BxLVPBTAHjWTji7HwA.png?width=3600&height=1890
Peec AI,AI search analytics for brands.,https://startups.gallery/companies/peec-ai,https://framerusercontent.com/images/sbsGhOyTwuP5aJmVdBRXesCLNM.jpeg?width=1200&height=630
Great Question,All-in-one UX research platform.,https://startups.gallery/companies/great-question,https://framerusercontent.com/images/Yc1Ta0McVpwtbyt2CqmhR7hsM.png?width=500&height=282
Span,Developer intelligence platform.,https://startups.gallery/companies/span,https://framerusercontent.com/images/gZ8XJLEW6LUeVErBh4sTBRSVc.jpeg?width=1920&height=1080
SafetyKit,Protect your platform with AI agents.,https://startups.gallery/companies/safetykit,https://framerusercontent.com/images/PXIzUUztvGsSnqe4plqL9j9BCE.jpg?width=1200&height=630
Keycard,Unified identity infrastructure for AI agents.,https://startups.gallery/companies/keycard,https://framerusercontent.com/images/BeS55o0oLlNCk2jBp5Aqvr6NUoI.png?width=1200&height=630
Eventual,Creators of Daft.,https://startups.gallery/companies/eventual,https://framerusercontent.com/images/ciLP4VYz60M4abQHtnS6cKKylA.jpeg?width=1500&height=500
Meow,Business banking with interest.,https://startups.gallery/companies/meow,https://framerusercontent.com/images/qUykAejJhfyACdzKMwRBZrzrEk.png?width=1200&height=630
Outtake,Cyber agents for any digital threat.,https://startups.gallery/companies/outtake,https://framerusercontent.com/images/Z6H3ECUl6IYCLhBpIJ2f45R1AA.jpg?width=1024&height=576
Mithril,The AI omnicloud.,https://startups.gallery/companies/foundry,https://framerusercontent.com/images/AByRCxOZ2fUXKsfXJCy2rArJHR0.jpeg?width=3232&height=1698
