Company_Name,Description,Website,Logo_URL
Sunflower Labs,Autonomous security drone.,https://startups.gallery/companies/sunflower-labs,https://framerusercontent.com/images/2yGjYQXoKOIIe89ny2YhHf5R0k.webp?width=1200&height=662
Norm AI,Legal and compliance AI.,https://startups.gallery/companies/norm-ai,https://framerusercontent.com/images/kU8KseEfEphKESyOQW1aN0yP7s.webp?width=1920&height=1080
Pallet,AI workers for logistics.,https://startups.gallery/companies/pallet,https://framerusercontent.com/images/dhsptJXpi2bbqa11v1KljNAnfNc.jpeg?width=1200&height=627
Graphite,The developer productivity platform.,https://startups.gallery/companies/graphite,https://framerusercontent.com/images/zVhu2BMy2XThlt1wVSQxvmCjg.png?width=1200&height=630
Agentio,Ad platform for creator content.,https://startups.gallery/companies/agentio,https://framerusercontent.com/images/2wv41UgGmt4LcF3jPetej2aQ4Dw.png?width=1200&height=627
Origin,A new era of wealth management.,https://startups.gallery/companies/origin-financial,https://framerusercontent.com/images/k9QBPm35ZF4nHqtgFCPvrSpLA.jpeg?width=2684&height=1542
M0,The universal stablecoin platform.,https://startups.gallery/companies/m0,https://framerusercontent.com/images/ras5SGtIYLcoq15ZtvVZo4ujok.jpg?width=1180&height=664
april,Embedded tax solutions.,https://startups.gallery/companies/april-tax,https://framerusercontent.com/images/rCRztVTPJJXt3mGwxEl8xuCXAA.png?width=720&height=378
Simulate,Plant-based chicken.,https://startups.gallery/companies/simulate,https://framerusercontent.com/images/lmxoB8vPOv6Uc5MyrCfCH8s0V8.jpg?width=1920&height=1080
Reka AI,"Multimodal, modular intelligence.",https://startups.gallery/companies/reka-ai,https://framerusercontent.com/images/qWJCOm7UDi3WRBhOUZTMQhHnWc.jpg?width=1200&height=630
Cover,"Modular, thoughtful homes.",https://startups.gallery/companies/cover-homes,https://framerusercontent.com/images/nv3H0omNMRWALZru5PoKEVes8U.jpeg?width=1500&height=500
Lightship,First American all-electric RV.,https://startups.gallery/companies/lightship,https://framerusercontent.com/images/uOFWGfaSxRfJh4M0WaF7E0kuhkE.jpg?width=1280&height=1280
Numeral,Ecommerce sales tax on autopilot.,https://startups.gallery/companies/numeral,https://framerusercontent.com/images/7swm0Uuv7SDh6LCOl4MPqs2xdA.png?width=2400&height=1260
Gigs,Launch a mobile service that runs itself.,https://startups.gallery/companies/gigs,https://framerusercontent.com/images/SpmPeylvVGP5exfu1wpThuHMJxg.jpg?width=3840&height=2160
Tavus,Building AI humans.,https://startups.gallery/companies/tavus,https://framerusercontent.com/images/zEvN59ost8tye2VWocazqtK3M.jpeg?width=1500&height=500
GC AI,In-house legal AI.,https://startups.gallery/companies/gc-ai,https://framerusercontent.com/images/AeEMizwMrP6nI0vjxwO7tqIbPQ.jpeg?width=4800&height=2520
Sweet Security,A new flavor of CNAPP.,https://startups.gallery/companies/sweet-security,https://framerusercontent.com/images/sjOefG2HmX1M2Qu4Ot0eOzSrmYY.jpeg?width=1500&height=500
Airops,Helping brands win AI search.,https://startups.gallery/companies/airops,https://framerusercontent.com/images/vLtHyWcxOuplYH6qhwu0CGgCtkU.jpeg?width=1200&height=631
Quo,The new kind of business phone.,https://startups.gallery/companies/quo,https://framerusercontent.com/images/SylBPCcvQaJjLRWk7Iw1JFqyRA.png?width=1200&height=630
Gamma,A new medium for presenting ideas.,https://startups.gallery/companies/gamma,https://framerusercontent.com/images/KSqkHmhHwp4VBJVIpKRTkUhSW2Q.jpeg?width=1500&height=500
Rain,The enterprise stablecoin.,https://startups.gallery/companies/rain-xyz,https://framerusercontent.com/images/jbNnayrQp3UdJFyhw6E3jxyb4.jpeg?width=1500&height=500
Truffle Security,Unearth your secrets.,https://startups.gallery/companies/truffle-security,https://framerusercontent.com/images/vhb55c4ke0Qal6hBiTx8e3DiW9o.jpeg?width=1200&height=630
Spellbook,The AI copilot for transactional lawyers.,https://startups.gallery/companies/spellbook,https://framerusercontent.com/images/oBNxCeGUwYzmykmZ4O81SN97wU8.jpeg?width=1500&height=500
Hummingbird,Fighting financial crime with AI.,https://startups.gallery/companies/hummingbird,https://framerusercontent.com/images/a4AKccU3TfHlXbnudgNwPSq0RNE.webp?width=1200&height=628
Cradle,"Engineer better proteins, faster.",https://startups.gallery/companies/cradle-bio,https://framerusercontent.com/images/BKW4k17kxUzYApAS4EfICnY8dxU.webp?width=1200&height=640
Neko,A better health check.,https://startups.gallery/companies/neko,https://framerusercontent.com/images/ou18g2d70lwvxA6FphDzKMm8ZY.png?width=2400&height=1260
Poolside,Frontier research to operational intelligence.,https://startups.gallery/companies/poolside,https://framerusercontent.com/images/0bKQpVUTVROwQfTxJPg0zRKmZM.png?width=1200&height=630
Vizcom,AI for industrial design.,https://startups.gallery/companies/vizcom,https://framerusercontent.com/images/hIijlg9dX0R7SF6s6DDtFZzbVQ.png?width=1200&height=675
1X,Humanoid robots for the home.,https://startups.gallery/companies/1x,https://framerusercontent.com/images/OE9T2qq3OnlAxe6BG4qd8nSjLc.jpeg?width=1500&height=500
Cartesia,Ultra-realistic voice AI platform.,https://startups.gallery/companies/cartesia,https://framerusercontent.com/images/Rrs1NfI0Xz5MUd6qFg6wX7fYAVE.jpeg?width=1500&height=500
Contra,The commission-free creative network.,https://startups.gallery/companies/contra,https://framerusercontent.com/images/gbcsRcTzjEwAsPUbbWvMfnnUis.png?width=2400&height=1254
ShopMy,World-class creator marketing programs.,https://startups.gallery/companies/shopmy,https://framerusercontent.com/images/4u7obz8QCWxZosBilhA6u1XWEs.webp?width=2240&height=1260
Nooks,AI sales assistant platform.,https://startups.gallery/companies/nooks,https://framerusercontent.com/images/67rDewXgGSfnXr0QkkizCgrXtA.png?width=1200&height=630
Sesame AI,AI voice assistant.,https://startups.gallery/companies/sesameai,https://framerusercontent.com/images/fWQpuktGP4lyz43fzqzi77LrNk.jpeg?width=1500&height=500
LangChain,Easily integrate LLMs into your apps.,https://startups.gallery/companies/langchain,https://framerusercontent.com/images/HOlv5ZUXpQTMsX15DS8I9y1OoY.jpg?width=2400&height=1256
Replicate,Run AI with an API.,https://startups.gallery/companies/replicate,https://framerusercontent.com/images/BUK2Yq0L23hZKHSJXJH3A3AhaA.jpeg?width=1500&height=500
Comulate,Transforming insurance with AI.,https://startups.gallery/companies/comulate,https://framerusercontent.com/images/TKEGIeWhPWll8eWor8G1cEnZYg.webp?width=752&height=564
Pulley,Equity management for high growth startups.,https://startups.gallery/companies/pulley,https://framerusercontent.com/images/Wjm2Q8IYLUtZkLM7LYhsmnMdDQ.png?width=1200&height=630
Nominal,The connected hardware test stack.,https://startups.gallery/companies/nominal,https://framerusercontent.com/images/kTLq0zSnk9i64yoJ9Sn8535lrY.jpg?width=1000&height=562
Heirloom,Direct air capture platform for carbon emissions.,https://startups.gallery/companies/heirloom,https://framerusercontent.com/images/kHduyOBXX76aq3CTbybecKpkvU.jpeg?width=1500&height=500
Reducto,Document ingestion API.,https://startups.gallery/companies/reducto,https://framerusercontent.com/images/NguwoNO5lopp9suGHVgAOYYvdE.jpeg?width=1200&height=630
Opal Security,Security built for every identity.,https://startups.gallery/companies/opal-security,https://framerusercontent.com/images/eClSWGGY1SNprQT3YIUUuwleGAg.jpeg?width=2400&height=1260
Reflection,Frontier open intelligence accessible to all.,https://startups.gallery/companies/reflection,https://framerusercontent.com/images/3Ct3tL8tjPQjk4d7C4uyPeHC5c.jpg?width=1200&height=675
David AI,The data layer for audio AI.,https://startups.gallery/companies/david-ai,https://framerusercontent.com/images/dGorFFaX7BI2iWIGu4iYdGuLoPc.jpg?width=1200&height=630
Unify,Transform growth into a science.,https://startups.gallery/companies/unify,https://framerusercontent.com/images/xTsMK0PPnbqvXgyDfnsSHtERP4.png?width=2400&height=1260
Seso,Employee management built for ag.,https://startups.gallery/companies/seso,https://framerusercontent.com/images/ygjbkvMpO7YW0NY6ro6OfRQeruY.jpeg?width=1500&height=500
Quilter,Physics-driven AI for electronics design.,https://startups.gallery/companies/quilter,https://framerusercontent.com/images/GtJ3s1NsgHu5v2H1dj02pDEOcA.webp?width=1200&height=630
Filigran,End-to-end cyber threat platform.,https://startups.gallery/companies/filigran,https://framerusercontent.com/images/WeSVsZrrSNYcEXqaJIpNDhD8eWQ.png?width=1920&height=1080
LiveKit,Build realtime AI.,https://startups.gallery/companies/livekit,https://framerusercontent.com/images/8Dqgcxul6XgcWOz2miEWIO0jFYw.png?width=1920&height=978
Aalo Atomics,Mass-manufactured nuclear plants.,https://startups.gallery/companies/aalo-atomics,https://framerusercontent.com/images/pFp0ZfEM61hSh49efddIXg3bU.jpg?width=5000&height=2364
