Company_Name,Description,Website,Logo_URL
Alloy,Data platform for robotics.,https://startups.gallery/companies/alloy,https://framerusercontent.com/images/XtIF5SyaMXlER2elkmrZqDNPw2E.jpeg?width=1500&height=500
Sonatic,Promptless agentic actions.,https://startups.gallery/companies/sonatic,https://framerusercontent.com/images/ptRuPN4KNSQkk3GvSaxOIUFYc.jpeg?width=640&height=328
Rove,The first universal airline mile.,https://startups.gallery/companies/rove,https://framerusercontent.com/images/l8hRHJUFUAmGhVV7SxXRBnCe7I.jpeg?width=1500&height=500
BaseHub,Headless CMS platform.,https://startups.gallery/companies/basehub,https://framerusercontent.com/images/QavxAFpm0LNZCT0CcqUM06PUg.jpeg?width=1500&height=500
Lunos,Tame the wilds of receivables.,https://startups.gallery/companies/lunos,https://framerusercontent.com/images/u9vYgdAROUGiNV0o46Annn4zns.jpg?width=2400&height=1260
The General Intelligence Company,Autonomous agents for startups.,https://startups.gallery/companies/the-general-intelligence-company,https://framerusercontent.com/images/jM68qAzP7UtDcfWLP1crPJnmAI4.png?width=1024&height=538
Round Treasury,Smarter treasury and banking for startups.,https://startups.gallery/companies/round-treasury,https://framerusercontent.com/images/QU8X2BQn7Iy1GWx0Be4AQDXVXno.png?width=1200&height=627
Format,15-min weekly customer reports.,https://startups.gallery/companies/format-ai,https://framerusercontent.com/images/rr7KYTPOvtIgBSoZYMFAbBGf8M.png?width=1200&height=630
Pace,AI-native BPO for insurance.,https://startups.gallery/companies/pace,https://framerusercontent.com/images/XcqMTgAjMsPRSc1kyedxG7deHd4.png?width=1200&height=630
Rosie,Your family’s matchmaker for trusted care.,https://startups.gallery/companies/rosie,https://framerusercontent.com/images/XUCeYnEfkUwS4RWWXO65UENIq4.png?width=1200&height=630
Liminary,The cognitive companion for knowledge workers.,https://startups.gallery/companies/liminary,https://framerusercontent.com/images/sttIYalQTErWtfEONu7NVauP4.png?width=1310&height=870
Wabi,The first personal software platform.,https://startups.gallery/companies/wabi,https://framerusercontent.com/images/64zXubJ0bFrfp4luFqsmrElJYw.jpeg?width=1500&height=500
Supermemory,Universal memory API for AI apps.,https://startups.gallery/companies/supermemory,https://framerusercontent.com/images/0vwwOshCy9cpQqoy4VrpL9jAnU.png?width=1200&height=630
Durin,Accelerating mineral discovery.,https://startups.gallery/companies/durin,https://framerusercontent.com/images/1AA4GscU7EXMdd15DxVA1ysQDdc.jpeg?width=1200&height=630
Nox Metals,"The modern factory for fast, low-cost metals.",https://startups.gallery/companies/nox-metals,https://framerusercontent.com/images/RuLDf9iwi4i7U2vXQPt1ecPKk.png?width=1024&height=1024
Midday,Run your business smarter.,https://startups.gallery/companies/midday,https://framerusercontent.com/images/PrCIPSYThvary4EAvj1wywIx0.jpg?width=3600&height=1890
